+-----+--------------------------------------------+-------------------------+-------------------------+-------------+----------------+----------+------------+
|  ID | Registry name                              | Biome name              | waterColorMultiplier    | temperature | temp. category | rainfall | enableSnow |
|  22 | minecraft:jungle_hills                     | JungleHills             | 0x00FFFFFF (  16777215) |        0.95 | MEDIUM         |     0.90 |      false |
|  23 | minecraft:jungle_edge                      | JungleEdge              | 0x00FFFFFF (  16777215) |        0.95 | MEDIUM         |     0.80 |      false |
|  24 | minecraft:deep_ocean                       | Deep Ocean              | 0x00FFFFFF (  16777215) |        0.50 | OCEAN          |     0.50 |      false |
|  25 | minecraft:stone_beach                      | Stone Beach             | 0x00FFFFFF (  16777215) |        0.20 | MEDIUM         |     0.30 |      false |
|  26 | minecraft:cold_beach                       | Cold Beach              | 0x00FFFFFF (  16777215) |        0.05 | COLD           |     0.30 |       true |
|  27 | minecraft:birch_forest                     | Birch Forest            | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.60 |      false |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills      | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.60 |      false |
|  29 | minecraft:roofed_forest                    | Roofed Forest           | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     0.80 |      false |
|  30 | minecraft:taiga_cold                       | Cold Taiga              | 0x00FFFFFF (  16777215) |       -0.50 | COLD           |     0.40 |       true |
|  31 | minecraft:taiga_cold_hills                 | Cold Taiga Hills        | 0x00FFFFFF (  16777215) |       -0.50 | COLD           |     0.40 |       true |
|  32 | minecraft:redwood_taiga                    | Mega Taiga              | 0x00FFFFFF (  16777215) |        0.30 | MEDIUM         |     0.80 |      false |
|  33 | minecraft:redwood_taiga_hills              | Mega Taiga Hills        | 0x00FFFFFF (  16777215) |        0.30 | MEDIUM         |     0.80 |      false |
|  34 | minecraft:extreme_hills_with_trees         | Extreme Hills+          | 0x00FFFFFF (  16777215) |        0.20 | MEDIUM         |     0.30 |      false |
|  35 | minecraft:savanna                          | Savanna                 | 0x00FFFFFF (  16777215) |        1.20 | WARM           |     0.00 |      false |
|  36 | minecraft:savanna_rock                     | Savanna Plateau         | 0x00FFFFFF (  16777215) |        1.00 | WARM           |     0.00 |      false |
|  37 | minecraft:mesa                             | Mesa                    | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
|  38 | minecraft:mesa_rock                        | Mesa Plateau F          | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau            | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
|  40 | biomesoplenty:gravel_beach                 | Gravel Beach            | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.50 |      false |
|  41 | biomesoplenty:white_beach                  | White Beach             | 0x00FFFFFF (  16777215) |        1.00 | WARM           |     0.95 |      false |
|  42 | biomesoplenty:origin_beach                 | Origin Beach            | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.60 |      false |
|  43 | biomesoplenty:alps                         | Alps                    | 0x00FFFFFF (  16777215) |       -0.25 | COLD           |     0.30 |       true |
|  44 | biomesoplenty:bamboo_forest                | Bamboo Forest           | 0x00FFFFFF (  16777215) |        0.90 | MEDIUM         |     0.85 |      false |
|  45 | biomesoplenty:bayou                        | Bayou                   | 0x00FFD932 (  16767282) |        0.95 | MEDIUM         |     0.90 |      false |
|  46 | biomesoplenty:bog                          | Bog                     | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.90 |      false |
|  47 | biomesoplenty:boreal_forest                | Boreal Forest           | 0x00FFFFFF (  16777215) |        0.30 | MEDIUM         |     0.60 |      false |
|  48 | biomesoplenty:brushland                    | Brushland               | 0x00FFFFFF (  16777215) |        1.50 | WARM           |     0.10 |      false |
|  49 | biomesoplenty:chaparral                    | Chaparral               | 0x00FFFFFF (  16777215) |        0.80 | MEDIUM         |     0.40 |      false |
|  50 | biomesoplenty:cherry_blossom_grove         | Cherry Blossom Grove    | 0x00FFFFFF (  16777215) |        0.55 | MEDIUM         |     0.80 |      false |
|  51 | biomesoplenty:cold_desert                  | Cold Desert             | 0x00FFFFFF (  16777215) |        0.20 | MEDIUM         |     0.00 |      false |
|  52 | biomesoplenty:coniferous_forest            | Coniferous Forest       | 0x00FFFFFF (  16777215) |        0.45 | MEDIUM         |     0.50 |      false |
|  53 | biomesoplenty:crag                         | Crag                    | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.50 |      false |
|  54 | biomesoplenty:dead_forest                  | Dead Forest             | 0x00FFFFFF (  16777215) |        0.30 | MEDIUM         |     0.30 |      false |
|  55 | biomesoplenty:dead_swamp                   | Dead Swamp              | 0x00A2AD51 (  10661201) |        0.55 | MEDIUM         |     0.90 |      false |
|  56 | biomesoplenty:eucalyptus_forest            | Eucalyptus Forest       | 0x00FFFFFF (  16777215) |        0.95 | MEDIUM         |     0.90 |      false |
|  57 | biomesoplenty:fen                          | Fen                     | 0x00FFFFFF (  16777215) |        0.40 | MEDIUM         |     0.40 |      false |
|  58 | biomesoplenty:flower_field                 | Flower Field            | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.70 |      false |
|  59 | biomesoplenty:grassland                    | Grassland               | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.70 |      false |
|  60 | biomesoplenty:grove                        | Grove                   | 0x00FFFFFF (  16777215) |        0.55 | MEDIUM         |     0.80 |      false |
|  61 | biomesoplenty:highland                     | Highland                | 0x00FFFFFF (  16777215) |        0.55 | MEDIUM         |     0.80 |      false |
|  62 | biomesoplenty:land_of_lakes                | Land of Lakes           | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.90 |      false |
|  63 | biomesoplenty:lavender_fields              | Lavender Fields         | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     0.70 |      false |
|  64 | biomesoplenty:lush_desert                  | Lush Desert             | 0x00FFFFFF (  16777215) |        1.20 | WARM           |     0.40 |      false |
|  65 | biomesoplenty:lush_swamp                   | Lush Swamp              | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     1.00 |      false |
|  66 | biomesoplenty:mangrove                     | Mangrove                | 0x00CDFF51 (  13500241) |        0.85 | MEDIUM         |     0.30 |      false |
|  67 | biomesoplenty:maple_woods                  | Maple Woods             | 0x00FFFFFF (  16777215) |        0.25 | MEDIUM         |     0.80 |      false |
|  68 | biomesoplenty:marsh                        | Marsh                   | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.80 |      false |
|  69 | biomesoplenty:meadow                       | Meadow                  | 0x00FFFFFF (  16777215) |        0.40 | MEDIUM         |     0.70 |      false |
|  70 | biomesoplenty:moor                         | Moor                    | 0x00588276 (   5800566) |        0.55 | MEDIUM         |     1.00 |      false |
|  71 | biomesoplenty:mountain                     | Mountain                | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.10 |      false |
|  72 | biomesoplenty:mystic_grove                 | Mystic Grove            | 0x00FF107A (  16715898) |        0.70 | MEDIUM         |     0.80 |      false |
|  73 | biomesoplenty:ominous_woods                | Ominous Woods           | 0x001E1B26 (   1973030) |        0.45 | MEDIUM         |     0.60 |      false |
|  74 | biomesoplenty:orchard                      | Orchard                 | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     0.70 |      false |
|  75 | biomesoplenty:outback                      | Outback                 | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.05 |      false |
|  76 | biomesoplenty:overgrown_cliffs             | Overgrown Cliffs        | 0x00FFFFFF (  16777215) |        0.95 | MEDIUM         |     0.75 |      false |
|  77 | biomesoplenty:prairie                      | Prairie                 | 0x00FFFFFF (  16777215) |        0.80 | MEDIUM         |     0.30 |      false |
|  78 | biomesoplenty:quagmire                     | Quagmire                | 0x00CC5100 (  13390080) |        0.55 | MEDIUM         |     0.90 |      false |
|  79 | biomesoplenty:rainforest                   | Rainforest              | 0x00FFFFFF (  16777215) |        0.95 | MEDIUM         |     1.20 |      false |
|  80 | biomesoplenty:redwood_forest               | Redwood Forest          | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     0.70 |      false |
|  81 | biomesoplenty:sacred_springs               | Sacred Springs          | 0x00FFFFFF (  16777215) |        0.85 | MEDIUM         |     0.90 |      false |
|  82 | biomesoplenty:seasonal_forest              | Seasonal Forest         | 0x00FFFFFF (  16777215) |        0.40 | MEDIUM         |     0.80 |      false |
|  83 | biomesoplenty:shield                       | Shield                  | 0x00FFFFFF (  16777215) |        0.40 | MEDIUM         |     0.80 |      false |
|  84 | biomesoplenty:shrubland                    | Shrubland               | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.05 |      false |
|  85 | biomesoplenty:snowy_coniferous_forest      | Snowy Coniferous Forest | 0x00FFFFFF (  16777215) |       -0.25 | COLD           |     0.50 |       true |
|  86 | biomesoplenty:snowy_forest                 | Snowy Forest            | 0x00FFFFFF (  16777215) |       -0.25 | COLD           |     0.50 |       true |
|  87 | biomesoplenty:steppe                       | Steppe                  | 0x00FFFFFF (  16777215) |        0.75 | MEDIUM         |     0.10 |      false |
|  88 | biomesoplenty:temperate_rainforest         | Temperate Rainforest    | 0x00FFFFFF (  16777215) |        0.75 | MEDIUM         |     1.20 |      false |
|  89 | biomesoplenty:tropical_rainforest          | Tropical Rainforest     | 0x005DFF00 (   6160128) |        1.00 | WARM           |     1.00 |      false |
|  90 | biomesoplenty:tundra                       | Tundra                  | 0x00FFFFFF (  16777215) |        0.25 | MEDIUM         |     0.50 |      false |
|  91 | biomesoplenty:wasteland                    | Wasteland               | 0x00CC5100 (  13390080) |        2.00 | WARM           |     0.00 |      false |
|  92 | biomesoplenty:wetland                      | Wetland                 | 0x00636084 (   6512772) |        0.60 | MEDIUM         |     0.70 |      false |
|  93 | biomesoplenty:woodland                     | Woodland                | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     0.50 |      false |
|  94 | biomesoplenty:xeric_shrubland              | Xeric Shrubland         | 0x00FFFFFF (  16777215) |        1.75 | WARM           |     0.10 |      false |
|  95 | biomesoplenty:alps_foothills               | AlpsFoothills           | 0x00FFFFFF (  16777215) |       -0.25 | COLD           |     0.30 |       true |
|  96 | biomesoplenty:mountain_foothills           | MountainFoothills       | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.10 |      false |
|  97 | biomesoplenty:pasture                      | Pasture                 | 0x00FFFFFF (  16777215) |        0.80 | MEDIUM         |     0.30 |      false |
|  98 | biomesoplenty:glacier                      | Glacier                 | 0x00FFFFFF (  16777215) |       -0.50 | COLD           |     0.20 |      false |
|  99 | biomesoplenty:oasis                        | Oasis                   | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.50 |      false |
| 100 | biomesoplenty:coral_reef                   | Coral Reef              | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.50 |      false |
| 101 | biomesoplenty:kelp_forest                  | Kelp Forest             | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.50 |      false |
| 102 | biomesoplenty:origin_island                | Origin Island           | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.60 |      false |
| 103 | biomesoplenty:tropical_island              | Tropical Island         | 0x00FFFFFF (  16777215) |        0.95 | MEDIUM         |     1.00 |      false |
| 104 | biomesoplenty:volcanic_island              | Volcanic Island         | 0x00FFFFFF (  16777215) |        1.20 | WARM           |     0.20 |      false |
| 105 | biomesoplenty:flower_island                | Flower Island           | 0x00FFFFFF (  16777215) |        0.80 | MEDIUM         |     0.80 |      false |
| 106 | biomesoplenty:corrupted_sands              | Corrupted Sands         | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
| 107 | biomesoplenty:fungi_forest                 | Fungi Forest            | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
| 108 | biomesoplenty:phantasmagoric_inferno       | Phantasmagoric Inferno  | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
| 109 | biomesoplenty:undergarden                  | Undergarden             | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
| 110 | biomesoplenty:visceral_heap                | Visceral Heap           | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
| 111 | appliedenergistics2:storage_biome          | Storage Cell            | 0x00FFFFFF (  16777215) |     -100.00 | COLD           |     0.50 |      false |
| 112 | buildcraftenergy:oil_ocean                 | Ocean Oil Field         | 0x00FFFFFF (  16777215) |        0.50 | OCEAN          |     0.50 |      false |
| 113 | buildcraftenergy:oil_desert                | Desert Oil Field        | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
| 114 | iceandfire:glacier                         | Glacier                 | 0x00FFFFFF (  16777215) |        0.00 | COLD           |     0.50 |       true |
| 115 | integrateddynamics:biome_meneglin          | Meneglin                | 0x0055DDA8 (   5627304) |        0.75 | MEDIUM         |     0.25 |      false |
| 116 | wizardry:wizardry_underworld               | wizardry_underworld     | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.50 |      false |
| 127 | minecraft:void                             | The Void                | 0x00FFFFFF (  16777215) |        0.50 | MEDIUM         |     0.50 |      false |
| 129 | minecraft:mutated_plains                   | Sunflower Plains        | 0x00FFFFFF (  16777215) |        0.80 | MEDIUM         |     0.40 |      false |
| 130 | minecraft:mutated_desert                   | Desert M                | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M         | 0x00FFFFFF (  16777215) |        0.20 | MEDIUM         |     0.30 |      false |
| 132 | minecraft:mutated_forest                   | Flower Forest           | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     0.80 |      false |
| 133 | minecraft:mutated_taiga                    | Taiga M                 | 0x00FFFFFF (  16777215) |        0.25 | MEDIUM         |     0.80 |      false |
| 134 | minecraft:mutated_swampland                | Swampland M             | 0x00E0FFAE (  14745518) |        0.80 | MEDIUM         |     0.90 |      false |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes       | 0x00FFFFFF (  16777215) |        0.00 | COLD           |     0.50 |       true |
| 149 | minecraft:mutated_jungle                   | Jungle M                | 0x00FFFFFF (  16777215) |        0.95 | MEDIUM         |     0.90 |      false |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M            | 0x00FFFFFF (  16777215) |        0.95 | MEDIUM         |     0.80 |      false |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M          | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.60 |      false |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M    | 0x00FFFFFF (  16777215) |        0.60 | MEDIUM         |     0.60 |      false |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M         | 0x00FFFFFF (  16777215) |        0.70 | MEDIUM         |     0.80 |      false |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M            | 0x00FFFFFF (  16777215) |       -0.50 | COLD           |     0.40 |       true |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga       | 0x00FFFFFF (  16777215) |        0.25 | MEDIUM         |     0.80 |      false |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M   | 0x00FFFFFF (  16777215) |        0.25 | MEDIUM         |     0.80 |      false |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M        | 0x00FFFFFF (  16777215) |        0.20 | MEDIUM         |     0.30 |      false |
| 163 | minecraft:mutated_savanna                  | Savanna M               | 0x00FFFFFF (  16777215) |        1.10 | WARM           |     0.00 |      false |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M       | 0x00FFFFFF (  16777215) |        1.00 | WARM           |     0.00 |      false |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)            | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M        | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M          | 0x00FFFFFF (  16777215) |        2.00 | WARM           |     0.00 |      false |
+-----+--------------------------------------------+-------------------------+-------------------------+-------------+----------------+----------+------------+
|  ID | Registry name                              | Biome name              | waterColorMultiplier    | temperature | temp. category | rainfall | enableSnow |
+-----+--------------------------------------------+-------------------------+-------------------------+-------------+----------------+----------+------------+
